layer,exact_decode_recall,recall@0.1,recall@0.2,recall@0.3,recall@0.4,recall@0.5,recall@0.6,recall@0.7,recall@0.8,recall@0.9,recall@1.0
0,0.393617,0.138298,0.212766,0.31383,0.388298,0.457447,0.553191,0.670213,0.787234,0.87234,1.0
1,0.473404,0.223404,0.393617,0.521277,0.638298,0.718085,0.771277,0.835106,0.87234,0.930851,0.994681
2,0.526596,0.170213,0.31383,0.452128,0.62234,0.712766,0.81383,0.87234,0.93617,0.968085,0.994681
3,0.478723,0.132979,0.218085,0.340426,0.425532,0.505319,0.62234,0.723404,0.808511,0.909574,0.994681
4,0.452128,0.111702,0.175532,0.281915,0.351064,0.441489,0.537234,0.62234,0.696809,0.829787,0.994681
5,0.393617,0.101064,0.207447,0.276596,0.335106,0.446809,0.574468,0.659574,0.781915,0.867021,0.994681
6,0.356383,0.058511,0.164894,0.239362,0.297872,0.382979,0.489362,0.611702,0.723404,0.867021,0.994681
7,0.37234,0.090426,0.154255,0.25,0.351064,0.441489,0.537234,0.654255,0.771277,0.87234,0.994681
8,0.340426,0.074468,0.18617,0.25,0.345745,0.452128,0.569149,0.648936,0.75,0.861702,0.994681
9,0.37766,0.090426,0.170213,0.25,0.361702,0.457447,0.558511,0.62766,0.755319,0.861702,0.994681
10,0.361702,0.058511,0.12234,0.207447,0.265957,0.340426,0.441489,0.526596,0.691489,0.851064,0.984043
11,0.37766,0.074468,0.138298,0.228723,0.324468,0.404255,0.531915,0.617021,0.723404,0.87234,0.989362
12,0.537234,0.111702,0.175532,0.260638,0.319149,0.404255,0.494681,0.569149,0.648936,0.819149,0.962766
13,0.675532,0.12766,0.207447,0.271277,0.37234,0.468085,0.558511,0.638298,0.744681,0.861702,0.973404
14,0.824468,0.159574,0.234043,0.31383,0.393617,0.5,0.590426,0.707447,0.803191,0.898936,0.952128
15,0.888298,0.170213,0.276596,0.351064,0.425532,0.531915,0.638298,0.702128,0.824468,0.87234,0.93617
16,0.93617,0.191489,0.319149,0.398936,0.489362,0.579787,0.664894,0.734043,0.803191,0.904255,0.962766
17,0.920213,0.239362,0.319149,0.43617,0.5,0.579787,0.680851,0.75,0.824468,0.898936,0.957447
18,0.93617,0.265957,0.37766,0.446809,0.526596,0.601064,0.670213,0.776596,0.867021,0.904255,0.952128
19,1.0,0.728723,0.808511,0.882979,0.893617,0.925532,0.962766,0.973404,0.994681,1.0,1.0
