ratio,layer,recall,hit,total
0.1,0,0.138298,26,188
0.1,1,0.223404,42,188
0.1,2,0.170213,32,188
0.1,3,0.132979,25,188
0.1,4,0.111702,21,188
0.1,5,0.101064,19,188
0.1,6,0.058511,11,188
0.1,7,0.090426,17,188
0.1,8,0.074468,14,188
0.1,9,0.090426,17,188
0.1,10,0.058511,11,188
0.1,11,0.074468,14,188
0.1,12,0.111702,21,188
0.1,13,0.12766,24,188
0.1,14,0.159574,30,188
0.1,15,0.170213,32,188
0.1,16,0.191489,36,188
0.1,17,0.239362,45,188
0.1,18,0.265957,50,188
0.1,19,0.728723,137,188
0.2,0,0.212766,40,188
0.2,1,0.393617,74,188
0.2,2,0.31383,59,188
0.2,3,0.218085,41,188
0.2,4,0.175532,33,188
0.2,5,0.207447,39,188
0.2,6,0.164894,31,188
0.2,7,0.154255,29,188
0.2,8,0.18617,35,188
0.2,9,0.170213,32,188
0.2,10,0.12234,23,188
0.2,11,0.138298,26,188
0.2,12,0.175532,33,188
0.2,13,0.207447,39,188
0.2,14,0.234043,44,188
0.2,15,0.276596,52,188
0.2,16,0.319149,60,188
0.2,17,0.319149,60,188
0.2,18,0.37766,71,188
0.2,19,0.808511,152,188
0.3,0,0.31383,59,188
0.3,1,0.521277,98,188
0.3,2,0.452128,85,188
0.3,3,0.340426,64,188
0.3,4,0.281915,53,188
0.3,5,0.276596,52,188
0.3,6,0.239362,45,188
0.3,7,0.25,47,188
0.3,8,0.25,47,188
0.3,9,0.25,47,188
0.3,10,0.207447,39,188
0.3,11,0.228723,43,188
0.3,12,0.260638,49,188
0.3,13,0.271277,51,188
0.3,14,0.31383,59,188
0.3,15,0.351064,66,188
0.3,16,0.398936,75,188
0.3,17,0.43617,82,188
0.3,18,0.446809,84,188
0.3,19,0.882979,166,188
0.4,0,0.388298,73,188
0.4,1,0.638298,120,188
0.4,2,0.62234,117,188
0.4,3,0.425532,80,188
0.4,4,0.351064,66,188
0.4,5,0.335106,63,188
0.4,6,0.297872,56,188
0.4,7,0.351064,66,188
0.4,8,0.345745,65,188
0.4,9,0.361702,68,188
0.4,10,0.265957,50,188
0.4,11,0.324468,61,188
0.4,12,0.319149,60,188
0.4,13,0.37234,70,188
0.4,14,0.393617,74,188
0.4,15,0.425532,80,188
0.4,16,0.489362,92,188
0.4,17,0.5,94,188
0.4,18,0.526596,99,188
0.4,19,0.893617,168,188
0.5,0,0.457447,86,188
0.5,1,0.718085,135,188
0.5,2,0.712766,134,188
0.5,3,0.505319,95,188
0.5,4,0.441489,83,188
0.5,5,0.446809,84,188
0.5,6,0.382979,72,188
0.5,7,0.441489,83,188
0.5,8,0.452128,85,188
0.5,9,0.457447,86,188
0.5,10,0.340426,64,188
0.5,11,0.404255,76,188
0.5,12,0.404255,76,188
0.5,13,0.468085,88,188
0.5,14,0.5,94,188
0.5,15,0.531915,100,188
0.5,16,0.579787,109,188
0.5,17,0.579787,109,188
0.5,18,0.601064,113,188
0.5,19,0.925532,174,188
0.6,0,0.553191,104,188
0.6,1,0.771277,145,188
0.6,2,0.81383,153,188
0.6,3,0.62234,117,188
0.6,4,0.537234,101,188
0.6,5,0.574468,108,188
0.6,6,0.489362,92,188
0.6,7,0.537234,101,188
0.6,8,0.569149,107,188
0.6,9,0.558511,105,188
0.6,10,0.441489,83,188
0.6,11,0.531915,100,188
0.6,12,0.494681,93,188
0.6,13,0.558511,105,188
0.6,14,0.590426,111,188
0.6,15,0.638298,120,188
0.6,16,0.664894,125,188
0.6,17,0.680851,128,188
0.6,18,0.670213,126,188
0.6,19,0.962766,181,188
0.7,0,0.670213,126,188
0.7,1,0.835106,157,188
0.7,2,0.87234,164,188
0.7,3,0.723404,136,188
0.7,4,0.62234,117,188
0.7,5,0.659574,124,188
0.7,6,0.611702,115,188
0.7,7,0.654255,123,188
0.7,8,0.648936,122,188
0.7,9,0.62766,118,188
0.7,10,0.526596,99,188
0.7,11,0.617021,116,188
0.7,12,0.569149,107,188
0.7,13,0.638298,120,188
0.7,14,0.707447,133,188
0.7,15,0.702128,132,188
0.7,16,0.734043,138,188
0.7,17,0.75,141,188
0.7,18,0.776596,146,188
0.7,19,0.973404,183,188
0.8,0,0.787234,148,188
0.8,1,0.87234,164,188
0.8,2,0.93617,176,188
0.8,3,0.808511,152,188
0.8,4,0.696809,131,188
0.8,5,0.781915,147,188
0.8,6,0.723404,136,188
0.8,7,0.771277,145,188
0.8,8,0.75,141,188
0.8,9,0.755319,142,188
