resolved_tokens,resolved_fraction,budget,mean,std
0,0.00000000,128,0.81693059,0.01599315
1,0.03125000,128,0.81693059,0.01599315
2,0.06250000,128,0.81693059,0.01599315
3,0.09375000,128,0.81693059,0.01599315
4,0.12500000,128,0.81693059,0.01599315
5,0.15625000,128,0.81693059,0.01599315
6,0.18750000,128,0.81693059,0.01599315
7,0.21875000,128,0.81602269,0.01796416
8,0.25000000,128,0.81602269,0.01796416
9,0.28125000,128,0.81559038,0.01759028
10,0.31250000,128,0.81559038,0.01759028
11,0.34375000,128,0.81559038,0.01759028
12,0.37500000,128,0.81559038,0.01759028
13,0.40625000,128,0.81448841,0.01900935
14,0.43750000,128,0.81448841,0.01900935
15,0.46875000,128,0.81448841,0.01900935
16,0.50000000,128,0.81332064,0.01867981
17,0.53125000,128,0.81320220,0.01896830
18,0.56250000,128,0.81086123,0.02241028
19,0.59375000,128,0.81086123,0.02241028
20,0.62500000,128,0.81086123,0.02241028
21,0.65625000,128,0.81003606,0.02239978
22,0.68750000,128,0.81048709,0.02237161
23,0.71875000,128,0.81052792,0.02264039
24,0.75000000,128,0.80678070,0.02930409
25,0.78125000,128,0.80678070,0.02930409
26,0.81250000,128,0.80429459,0.03019821
27,0.84375000,128,0.80407190,0.03019495
28,0.87500000,128,0.80264550,0.03009085
29,0.90625000,128,0.80250657,0.03004266
30,0.93750000,128,0.80110180,0.03191336
31,0.96875000,128,0.80103815,0.03192627
0,0.00000000,256,0.85885704,0.01275175
1,0.03125000,256,0.85885704,0.01275175
2,0.06250000,256,0.85885704,0.01275175
3,0.09375000,256,0.85885704,0.01275175
4,0.12500000,256,0.85885704,0.01275175
5,0.15625000,256,0.85885704,0.01275175
6,0.18750000,256,0.85885704,0.01275175
7,0.21875000,256,0.85781813,0.01483412
8,0.25000000,256,0.85781813,0.01483412
9,0.28125000,256,0.85742104,0.01431563
10,0.31250000,256,0.85742104,0.01431563
11,0.34375000,256,0.85742104,0.01431563
12,0.37500000,256,0.85742104,0.01431563
13,0.40625000,256,0.85637510,0.01538620
14,0.43750000,256,0.85637510,0.01538620
15,0.46875000,256,0.85637510,0.01538620
16,0.50000000,256,0.85556525,0.01481712
17,0.53125000,256,0.85534906,0.01535417
18,0.56250000,256,0.85287648,0.01863114
19,0.59375000,256,0.85287648,0.01863114
20,0.62500000,256,0.85287648,0.01863114
21,0.65625000,256,0.85218734,0.01837465
22,0.68750000,256,0.85235536,0.01841612
23,0.71875000,256,0.85220414,0.01888613
24,0.75000000,256,0.84938192,0.02367488
25,0.78125000,256,0.84938192,0.02367488
26,0.81250000,256,0.84669656,0.02498185
27,0.84375000,256,0.84648657,0.02494478
28,0.87500000,256,0.84467822,0.02453194
29,0.90625000,256,0.84457082,0.02448558
30,0.93750000,256,0.84318638,0.02640535
31,0.96875000,256,0.84310615,0.02639116
0,0.00000000,512,0.89718151,0.00947040
1,0.03125000,512,0.89718151,0.00947040
2,0.06250000,512,0.89718151,0.00947040
3,0.09375000,512,0.89718151,0.00947040
4,0.12500000,512,0.89718151,0.00947040
5,0.15625000,512,0.89718151,0.00947040
6,0.18750000,512,0.89718151,0.00947040
7,0.21875000,512,0.89614612,0.01131970
8,0.25000000,512,0.89614612,0.01131970
9,0.28125000,512,0.89574325,0.01087013
10,0.31250000,512,0.89574325,0.01087013
11,0.34375000,512,0.89574325,0.01087013
12,0.37500000,512,0.89574325,0.01087013
13,0.40625000,512,0.89482737,0.01177698
14,0.43750000,512,0.89482737,0.01177698
15,0.46875000,512,0.89482737,0.01177698
16,0.50000000,512,0.89409465,0.01149503
17,0.53125000,512,0.89383030,0.01211794
18,0.56250000,512,0.89141542,0.01491486
19,0.59375000,512,0.89141542,0.01491486
20,0.62500000,512,0.89141542,0.01491486
21,0.65625000,512,0.89077556,0.01485618
22,0.68750000,512,0.89088583,0.01484863
23,0.71875000,512,0.89068156,0.01532318
24,0.75000000,512,0.88853866,0.01874041
25,0.78125000,512,0.88853866,0.01874041
26,0.81250000,512,0.88610280,0.02017965
27,0.84375000,512,0.88592941,0.02019602
28,0.87500000,512,0.88390809,0.01931277
29,0.90625000,512,0.88381994,0.01927283
30,0.93750000,512,0.88251400,0.02114712
31,0.96875000,512,0.88242930,0.02115607
