layer,keep_ratio,recall
1,0.5,0.3683333333333333
1,0.7,0.665
1,0.9,0.8816666666666666
2,0.5,0.57
2,0.7,0.8149999999999998
2,0.9,0.9733333333333334
3,0.5,0.5833333333333333
3,0.7,0.8149999999999998
3,0.9,0.9733333333333334
4,0.5,0.6566666666666666
4,0.7,0.8883333333333333
4,0.9,0.9866666666666667
5,0.5,0.6449999999999999
5,0.7,0.875
5,0.9,0.9483333333333335
6,0.5,0.6516666666666666
6,0.7,0.8366666666666667
6,0.9,0.915
7,0.5,0.6399999999999999
7,0.7,0.8366666666666667
7,0.9,0.9733333333333334
8,0.5,0.6516666666666666
8,0.7,0.8833333333333332
8,0.9,0.9483333333333335
9,0.5,0.605
9,0.7,0.8833333333333332
9,0.9,0.9483333333333335
10,0.5,0.6183333333333333
10,0.7,0.8616666666666667
10,0.9,0.9483333333333335
11,0.5,0.58
11,0.7,0.8033333333333333
11,0.9,0.915
12,0.5,0.6066666666666667
12,0.7,0.7783333333333333
12,0.9,0.915
13,0.5,0.5999999999999999
13,0.7,0.8183333333333334
13,0.9,0.9283333333333333
14,0.5,0.6399999999999999
14,0.7,0.8633333333333333
14,0.9,0.9400000000000001
15,0.5,0.6066666666666667
15,0.7,0.8300000000000001
15,0.9,0.915
16,0.5,0.5716666666666665
16,0.7,0.8166666666666667
16,0.9,0.9866666666666667
17,0.5,0.585
17,0.7,0.8550000000000001
17,0.9,0.9616666666666667
18,0.5,0.6433333333333333
18,0.7,0.8883333333333333
18,0.9,1.0
19,0.5,0.6116666666666666
19,0.7,0.8433333333333334
19,0.9,0.9866666666666667
20,0.5,0.7899999999999999
20,0.7,1.0
20,0.9,1.0
